<pre>Teams:10,Rounds:15,Total drafts:1223
Start date,July 29, 2014
End date,July 31, 2014

ADP,Overall,Name,Position,Team,Times Drafted,Bye
1.02,1.7,LeSean McCoy,RB,PHI,805,7
1.02,2.3,Jamaal Charles,RB,KC,926,6
1.03,3.4,Adrian Peterson,RB,MIN,1082,10
1.04,4.1,Matt Forte,RB,CHI,579,9
1.05,5.2,Calvin Johnson,WR,DET,865,9
1.06,6.1,Eddie Lacy,RB,GB,927,9
1.08,8.0,Jimmy Graham,TE,NO,830,6
1.09,8.9,Demaryius Thomas,WR,DEN,872,4
1.09,9.4,Peyton Manning,QB,DEN,790,4
2.01,10.8,Montee Ball,RB,DEN,759,4
2.01,11.1,Dez Bryant,WR,DAL,888,11
2.01,11.5,Marshawn Lynch,RB,SEA,875,4
2.03,13.2,Arian Foster,RB,HOU,882,10
2.04,13.5,A.J. Green,WR,CIN,975,4
2.05,15.0,DeMarco Murray,RB,DAL,908,11
2.06,16.2,Julio Jones,WR,ATL,936,9
2.07,16.8,LeVeon Bell,RB,PIT,805,12
2.07,17.0,Brandon Marshall,WR,CHI,980,9
2.09,19.3,Aaron Rodgers,QB,GB,791,9
2.10,20.3,Giovani Bernard,RB,CIN,809,4
2.10,20.3,Drew Brees,QB,NO,855,6
3.02,21.8,Jordy Nelson,WR,GB,896,9
3.02,22.2,Alfred Morris,RB,WAS,832,10
3.05,24.7,Antonio Brown,WR,PIT,829,12
3.05,24.8,Doug Martin,RB,TB,846,7
3.06,25.9,Alshon Jeffery,WR,CHI,821,9
3.06,26.3,Rob Gronkowski,TE,NE,833,10
3.08,27.5,Zac Stacy,RB,STL,846,4
3.09,28.7,Randall Cobb,WR,GB,870,9
3.10,30.2,Andre Ellington,RB,ARI,814,4
3.10,30.5,Julius Thomas,TE,DEN,832,4
4.02,32.2,C.J. Spiller,RB,BUF,820,9
4.03,32.8,Reggie Bush,RB,DET,825,9
4.04,33.8,Keenan Allen,WR,SD,789,10
4.05,35.0,Vincent Jackson,WR,TB,810,7
4.06,35.7,Toby Gerhart,RB,JAC,770,11
4.07,37.4,Pierre Garcon,WR,WAS,710,10
4.07,37.4,Victor Cruz,WR,NYG,771,8
5.01,40.9,Larry Fitzgerald,WR,ARI,711,4
5.01,41.1,Ryan Mathews,RB,SD,712,10
5.01,41.2,Wes Welker,WR,DEN,702,4
5.02,42.5,Bishop Sankey,RB,TEN,628,9
5.03,43.0,Andre Johnson,WR,HOU,778,10
5.03,43.2,Cordarrelle Patterson,WR,MIN,676,10
5.05,44.5,Matthew Stafford,QB,DET,661,9
5.05,45.1,Roddy White,WR,ATL,751,9
5.05,45.1,Frank Gore,RB,SF,850,8
5.09,48.9,Percy Harvin,WR,SEA,758,4
5.09,49.2,Shane Vereen,RB,NE,641,10
5.10,49.6,Michael Crabtree,WR,SF,777,8
5.10,49.9,Rashad Jennings,RB,NYG,707,8
6.01,50.9,DeSean Jackson,WR,WAS,843,10
6.02,51.8,Andrew Luck,QB,IND,633,10
6.02,51.8,Chris Johnson,RB,NYJ,796,11
6.02,52.2,Vernon Davis,TE,SF,688,8
6.04,54.1,Trent Richardson,RB,IND,778,10
6.05,55.4,Jordan Cameron,TE,CLE,630,4
6.06,56.2,Michael Floyd,WR,ARI,636,4
6.09,59.1,Ray Rice,RB,BAL,860,11
6.09,59.4,T.Y. Hilton,WR,IND,759,10
6.10,59.6,Ben Tate,RB,CLE,691,4
7.01,60.7,Jeremy Maclin,WR,PHI,801,7
7.03,62.9,Joique Bell,RB,DET,748,9
7.04,64.3,Nick Foles,QB,PHI,580,7
7.05,64.8,Torrey Smith,WR,BAL,634,11
7.06,65.9,Emmanuel Sanders,WR,DEN,706,4
7.08,67.5,Stevan Ridley,RB,NE,653,10
7.08,67.9,Robert Griffin III,QB,WAS,566,10
7.08,68.0,Jason Witten,TE,DAL,506,11
7.09,68.8,Tom Brady,QB,NE,612,10
8.01,70.6,Mike Wallace,WR,MIA,627,5
8.01,71.0,Steven Jackson,RB,ATL,572,9
8.02,71.6,Julian Edelman,WR,NE,633,10
8.03,73.0,Sammy Watkins,WR,BUF,711,9
8.03,73.3,Lamar Miller,RB,MIA,700,5
8.04,74.2,Pierre Thomas,RB,NO,494,6
8.07,76.7,Marques Colston,WR,NO,592,6
8.07,77.0,Matt Ryan,QB,ATL,706,9
8.08,77.9,Maurice Jones-Drew,RB,OAK,484,5
8.08,78.0,Jordan Reed,TE,WAS,469,10
8.08,78.2,Darren Sproles,RB,PHI,473,7
8.10,80.5,Terrance Williams,WR,DAL,524,11
9.01,80.8,Cam Newton,QB,CAR,627,12
9.01,81.2,Seattle Defense,DEF,SEA,749,4
9.02,82.2,Golden Tate,WR,DET,581,9
9.03,83.5,Terrance West,RB,CLE,497,4
9.04,83.6,Kendall Wright,WR,TEN,521,9
9.05,84.8,Reggie Wayne,WR,IND,610,10
9.06,85.6,Greg Olsen,TE,CAR,525,12
9.07,87.4,Eric Decker,WR,NYJ,602,11
9.08,88.2,Colin Kaepernick,QB,SF,640,8
9.10,89.9,Tony Romo,QB,DAL,667,11
10.02,92.2,Riley Cooper,WR,PHI,451,7
10.02,92.4,Brandin Cooks,WR,NO,488,6
10.03,93.2,Dennis Pitta,TE,BAL,526,11
10.03,93.3,Bernard Pierce,RB,BAL,453,11
10.05,94.7,Danny Woodhead,RB,SD,454,10
10.06,95.6,Jay Cutler,QB,CHI,532,9
10.06,95.6,San Francisco Defense,DEF,SF,458,8
10.07,97.1,Dwayne Bowe,WR,KC,368,6
10.07,97.4,Kyle Rudolph,TE,MIN,735,10
10.08,97.7,Darren McFadden,RB,OAK,448,5
10.09,99.0,Rueben Randle,WR,NYG,406,8
11.02,101.7,Hakeem Nicks,WR,IND,387,10
11.02,101.9,Knowshon Moreno,RB,MIA,452,5
11.02,102.3,Fred Jackson,RB,BUF,522,9
11.03,102.9,Tavon Austin,WR,STL,416,4
11.04,103.8,Philip Rivers,QB,SD,512,10
11.05,105.5,Carolina Defense,DEF,CAR,346,12
11.07,107.2,Khiry Robinson,RB,NO,389,6
11.08,108.2,Mike Evans,WR,TB,389,7
11.09,108.7,Russell Wilson,QB,SEA,410,4
11.09,109.3,Jeremy Hill,RB,CIN,390,4
11.10,110.0,Denver Defense,DEF,DEN,338,4
12.01,110.9,DeAndre Hopkins,WR,HOU,364,10
12.01,111.2,DeAngelo Williams,RB,CAR,547,12
12.02,112.2,Danny Amendola,WR,NE,405,10
12.02,112.4,Christine Michael,RB,SEA,669,4
12.05,114.8,Zach Ertz,TE,PHI,660,7
12.06,116.3,St. Louis Defense,DEF,STL,326,4
12.06,116.4,Devonta Freeman,RB,ATL,590,9
12.08,118.0,Cecil Shorts,WR,JAC,275,11
12.08,118.4,Anquan Boldin,WR,SF,418,8
12.10,119.6,Eric Ebron,TE,DET,566,9
12.10,119.7,New England Defense,DEF,NE,325,10
12.10,119.9,Carlos Hyde,RB,SF,640,8
12.10,120.1,Kenny Stills,WR,NO,313,6
13.01,120.8,Ben Roethlisberger,QB,PIT,375,12
13.01,121.1,Matt Prater,PK,DEN,515,4
13.03,123.1,David Wilson,RB,NYG,353,8
13.04,123.5,Andy Dalton,QB,CIN,303,4
13.04,124.0,Stephen Gostkowski,PK,NE,415,10
13.04,124.1,Martellus Bennett,TE,CHI,336,9
13.04,124.4,Ladarius Green,TE,SD,405,10
13.05,125.0,Kelvin Benjamin,WR,CAR,326,12
13.06,126.1,Antonio Gates,TE,SD,75,10
13.07,126.7,Marvin Jones,WR,CIN,279,4
13.09,128.6,Arizona Defense,DEF,ARI,391,4
13.10,130.1,LeGarrette Blount,RB,PIT,208,12
13.10,130.1,Tre Mason,RB,STL,247,4
13.10,130.3,Ahmad Bradshaw,RB,IND,156,10
14.01,130.7,Charles Clay,TE,MIA,198,5
14.01,130.9,Jarrett Boykin,WR,GB,268,9
14.01,130.9,Steve Smith,WR,BAL,225,11
14.01,131.1,Cincinnati Defense,DEF,CIN,346,4
14.01,131.5,Johnny Manziel,QB,CLE,187,4
14.02,131.9,Chris Ivory,RB,NYJ,134,11
14.02,132.0,Justin Hunter,WR,TEN,135,9
14.02,132.1,Jordan Matthews,WR,PHI,223,7
14.03,132.5,Josh McCown,QB,TB,95,7
14.03,132.7,Eli Manning,QB,NYG,175,8
14.03,133.3,James Jones,WR,OAK,115,5
14.03,133.4,Greg Jennings,WR,MIN,74,10
14.04,133.6,Knile Davis,RB,KC,103,6
14.04,133.8,Steven Hauschka,PK,SEA,292,4
14.04,134.0,Aaron Dobson,WR,NE,101,10
14.06,135.7,Houston Defense,DEF,HOU,363,10
14.06,136.1,Justin Tucker,PK,BAL,300,11
14.06,136.1,Kansas City Defense,DEF,KC,277,6
14.07,137.0,Chicago Defense,DEF,CHI,74,9
14.10,139.5,Mason Crosby,PK,GB,335,9
14.10,140.4,Cleveland Defense,DEF,CLE,112,4
14.10,140.5,Dan Bailey,PK,DAL,253,11
15.01,141.4,Tampa Bay Defense,DEF,TB,101,7
15.02,142.1,Phil Dawson,PK,SF,242,8
15.03,142.6,Robbie Gould,PK,CHI,97,9
15.03,143.0,Blair Walsh,PK,MIN,149,10
15.03,143.1,Adam Vinatieri,PK,IND,121,10
15.04,144.4,Greg Zuerlein,PK,STL,161,4
15.05,144.6,Matt Bryant,PK,ATL,200,9
</pre>